State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,Strata_Determining_Factors,Number_Counties,Population_Size,Population_Density,ALE,All_Death,Health_Status,Unhealthy_Days,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic
1,113,Russell,Alabama,AL,8,"frontier status, population size, poverty",54,49326,77,72.1,1144.3,25.4,7.5,18.6,26.3,60.1,12.2,1.4,56.1,42.1,0.3,0.6,2.1
1,115,St. Clair,Alabama,AL,22,"frontier status, population size, poverty, age",28,72330,114,74.9,1059.4,25.2,8,13.1,24.2,63.7,11,1.1,90.3,8.2,0.4,0.3,1.3
1,117,Shelby,Alabama,AL,11,"frontier status, population size, poverty, age",44,171465,216,76.8,923.4,9.9,6.1,6.9,26.2,65.1,8,0.7,88.2,9.4,0.3,1.4,3.1
1,119,Sumter,Alabama,AL,66,"frontier status, population size, poverty, age, population density",37,13819,15,73.5,1022.8,19.8,6.6,26.4,28.2,57.6,11.5,2.7,24.9,74.7,0.1,0.1,1.4
1,121,Talladega,Alabama,AL,8,"frontier status, population size, poverty",54,80457,109,73.3,1090.6,24.6,8.4,16.8,24.9,61.7,12,1.4,67.5,31.4,0.2,0.4,1.1
1,123,Tallapoosa,Alabama,AL,49,"frontier status, population size, poverty, age, population density",35,40717,57,73.9,1046.3,21.5,7.4,16,23.6,59.8,14.6,2,72.9,26.3,0.2,0.2,0.9
1,125,Tuscaloosa,Alabama,AL,6,"frontier status, population size, poverty",53,168908,128,75,1026.2,17.9,6.9,16.5,25,63.9,9.9,1.2,67.7,30.1,0.2,1.1,1.6
1,127,Walker,Alabama,AL,24,"frontier status, population size, poverty, age",35,70117,88,72.2,1191.7,27.3,9.5,14.8,23.6,61,13.7,1.6,92.5,6.4,0.3,0.2,1.2
1,133,Winston,Alabama,AL,41,"frontier status, population size, poverty, age",47,24498,40,73.5,1072.3,25.5,9.5,16.9,22.8,62.2,13.7,1.4,98.3,0.6,0.4,0.1,1.9
4,1,Apache,Arizona,AZ,77,"frontier status, population size",15,69343,6,73.9,943.8,15.4,5.3,27.5,36.8,53.5,8.8,0.9,22.2,0.6,76.1,0.3,4.6
4,3,Cochise,Arizona,AZ,7,"frontier status, population size, poverty",33,126106,20,76.8,844,16.9,6.9,16.3,27.1,56.9,14.4,1.6,90.1,4.4,1.3,2.1,30.8
4,5,Coconino,Arizona,AZ,77,"frontier status, population size",15,123866,7,78.5,764.8,10.8,5.5,15.6,29,63.3,7,0.7,66.1,1.3,29.9,1.2,11.6
4,7,Gila,Arizona,AZ,36,"frontier status, population size, poverty, age",23,51663,11,75.2,922.9,19,8.2,17.1,25.4,53.7,18.7,2.2,83.5,0.7,14.6,0.6,16.3
4,9,Graham,Arizona,AZ,51,"frontier status, population size, poverty, age, population density",33,33073,7,76.8,868.2,15.7,6.5,20.5,30.1,57.2,11.1,1.6,80.4,2.2,16.3,0.7,27.8
4,12,La Paz,Arizona,AZ,88,"frontier status, population size, poverty, age",23,20238,4,80.9,766.8,22.2,6.1,17.2,20.6,50.4,26,2.9,84.2,1,13.2,0.6,22.8
4,13,Maricopa,Arizona,AZ,1,"frontier status, population size",34,3635528,395,77.8,780.8,14.4,5.6,12.8,28.6,60.3,9.7,1.4,89,4.3,2.2,2.9,28.7
4,15,Mohave,Arizona,AZ,6,"frontier status, population size, poverty",53,187200,14,74.8,970.8,21.7,7,14.9,23.3,55.9,18.8,2,94.2,1,2.5,1.1,12.8
4,17,Navajo,Arizona,AZ,8,"frontier status, population size, poverty",54,108432,11,74.8,911.7,16.5,6,21.4,33.9,55.1,10.1,0.9,48.5,1.1,48.8,0.4,8.7
4,19,Pima,Arizona,AZ,3,"frontier status, population size, poverty",39,924786,101,77.3,809,13.7,6,14.3,26,59.6,12.5,1.9,88.7,3.4,3.6,2.6,31.6
4,21,Pinal,Arizona,AZ,7,"frontier status, population size, poverty",33,229549,43,76.9,795.2,19,6.3,14.6,26.1,59.4,13.1,1.4,86.9,3.5,7.4,1.1,29.6
4,23,Santa Cruz,Arizona,AZ,51,"frontier status, population size, poverty, age, population density",33,42009,34,80,662.7,18.3,4.3,19.2,33.4,55,10.4,1.2,97.7,0.6,0.8,0.8,80.4
4,25,Yavapai,Arizona,AZ,16,"frontier status, population size, poverty, age",27,198701,24,77.8,778.8,17.4,6.6,12,21.1,56.9,19.5,2.5,95.6,0.7,1.7,0.8,11.5
4,27,Yuma,Arizona,AZ,7,"frontier status, population size, poverty",33,181277,33,80.9,608.9,19.1,5.6,18,30.8,51.8,15.6,1.8,93,2.7,1.9,1.4,54.6
5,1,Arkansas,Arkansas,AR,75,"frontier status, population size, poverty, age, population density",37,20073,20,73.4,1080.5,24.9,7.8,17.3,24.9,59.5,13.8,1.8,74.6,24.5,0.1,0.4,1.1
5,3,Ashley,Arkansas,AR,68,"frontier status, population size, poverty, age, population density",34,23178,25,72.6,1076.7,18.5,8.2,17.8,25.9,60.2,12,1.9,71.3,27.8,0.1,0.3,3.8
5,5,Baxter,Arkansas,AR,50,"frontier status, population size, poverty, age, population density",27,40330,73,77,897.6,17.8,6.5,13.7,18.8,54.8,22.8,3.6,98,0.3,0.5,0.4,1
5,7,Benton,Arkansas,AR,13,"frontier status, population size, poverty, age",16,186938,221,78,776.9,14.5,5.7,10,27.2,60.2,11.1,1.5,93.8,1.1,1.6,1.9,12.6
5,9,Boone,Arkansas,AR,49,"frontier status, population size, poverty, age, population density",35,35793,61,76.9,896.3,17.6,5.8,15.3,23.5,59.4,14.9,2.1,97.7,0.3,0.7,0.4,1.5
5,11,Bradley,Arkansas,AR,70,"frontier status, population size, poverty, age, population density",37,12192,19,73.3,1080.4,18.9,7.1,20.3,23.4,59.5,14.9,2.2,71.2,28.2,0.3,0.1,10.2
5,13,Calhoun,Arkansas,AR,43,"frontier status, population size, poverty, age",57,5589,9,73.3,1021.1,17.9,6.2,14.5,23.5,61.1,13,2.4,76.6,23.2,0,0,2.1
5,15,Carroll,Arkansas,AR,64,"frontier status, population size, poverty, age, population density",41,26999,43,76.9,824.8,19.8,6.4,15.4,24,60.1,14.2,1.7,97.3,0.3,0.7,0.7,13.5
5,17,Chicot,Arkansas,AR,67,"frontier status, population size, poverty, age, population density",31,13027,20,73.9,1134.1,30.9,6.1,27.9,26,58.3,13.6,2,45.2,53.9,0,0.6,4
5,19,Clark,Arkansas,AR,71,"frontier status, population size, poverty, age, population density",33,22916,26,75.5,975.4,18.4,6.9,17.2,24.4,61.3,12.1,2.1,75.3,22.3,0.5,1.1,3.9
5,21,Clay,Arkansas,AR,63,"frontier status, population size, poverty, age, population density",32,16578,26,75,1032,31.9,7.8,17.1,23,57.9,16.3,2.7,98.2,0.3,0.7,0.2,1
5,23,Cleburne,Arkansas,AR,64,"frontier status, population size, poverty, age, population density",41,25391,46,76.4,869,21.2,7.8,14.4,20.5,57.8,19.4,2.2,98.2,0.5,0.3,0.2,1.7
5,25,Cleveland,Arkansas,AR,41,"frontier status, population size, poverty, age",47,8903,15,73.3,977.5,26.2,7.9,14.2,24.7,61,12.6,1.7,85.7,13.5,0.4,0.1,1.8
5,27,Columbia,Arkansas,AR,35,"frontier status, population size, poverty, age",27,24695,32,74.3,1013.9,21.9,7,20.3,25.3,58.8,13.5,2.4,62.3,36.6,0.3,0.4,1.6
5,29,Conway,Arkansas,AR,43,"frontier status, population size, poverty, age",57,20739,37,75.2,949.3,23.3,6.7,16.5,25.1,59.3,13.5,2.1,85.5,12.5,0.5,0.5,2.4
5,31,Craighead,Arkansas,AR,22,"frontier status, population size, poverty, age",28,86735,122,75.3,997.6,20.6,7.2,15.9,25.8,62.5,10.3,1.4,88.3,9.7,0.4,0.7,3.1
5,33,Crawford,Arkansas,AR,33,"frontier status, population size, poverty, age",41,57630,97,74.6,1027.5,19.4,6.6,14.2,27.1,61,10.8,1.1,93.4,1.1,2.1,1.4,4.6
5,35,Crittenden,Arkansas,AR,53,"frontier status, population size, poverty, age, population density",27,51882,85,71.1,1241.2,22.4,6.7,22.5,31.2,59,8.7,1.1,49.2,49.4,0.3,0.6,1.9
5,37,Cross,Arkansas,AR,68,"frontier status, population size, poverty, age, population density",34,19237,31,73.2,1079.4,22.3,7.1,19.6,26.8,60,11.6,1.5,75.5,23.4,0.3,0.4,1.1
5,39,Dallas,Arkansas,AR,74,"frontier status, population size, poverty, age, population density",30,8524,13,73.6,1122.3,18.4,4.7,18.7,25.2,58.3,13.9,2.6,58.2,40.7,0.3,0.4,2.4
5,41,Desha,Arkansas,AR,67,"frontier status, population size, poverty, age, population density",31,14358,19,74.4,1046.9,20.6,5.7,23.2,28.2,57.5,12.1,2.2,52.1,46.8,0.3,0.4,3.8
5,43,Drew,Arkansas,AR,67,"frontier status, population size, poverty, age, population density",31,18693,23,73.9,1026.8,16.6,5.1,18.4,25.6,61.3,11.5,1.6,71.2,27.5,0.2,0.5,2.6
5,45,Faulkner,Arkansas,AR,19,"frontier status, population size, poverty, age",37,97147,150,77.3,894.9,16,6.4,12.8,27,63.4,8.5,1.1,88.3,9.3,0.5,0.8,2.5
5,47,Franklin,Arkansas,AR,43,"frontier status, population size, poverty, age",57,18218,30,75.7,935,19.7,6,16.4,24.6,59.2,13.9,2.3,96.7,0.7,0.8,0.9,2
5,49,Fulton,Arkansas,AR,70,"frontier status, population size, poverty, age, population density",37,11934,19,74.9,889.5,18.6,8.2,18.2,21.3,57.2,18.7,2.7,98.1,0.3,0.6,0.2,0.7
5,51,Garland,Arkansas,AR,24,"frontier status, population size, poverty, age",35,93551,138,74.8,975.6,21,6.7,16,21.9,57.4,18,2.7,89.3,7.9,0.7,0.6,3.3
5,53,Grant,Arkansas,AR,39,"frontier status, population size, poverty, age",51,17348,27,73.6,963.9,20.4,8.6,10.9,23.8,63.6,11.2,1.5,95.8,3.1,0.5,0.2,1.7
5,55,Greene,Arkansas,AR,50,"frontier status, population size, poverty, age, population density",27,39401,68,73.5,1006.3,26.2,8.3,15.4,25.3,60.9,12.2,1.6,97.8,0.3,0.4,0.2,1.5
5,57,Hempstead,Arkansas,AR,76,"frontier status, population size, poverty, age, population density",38,23383,32,74.7,1000.9,26.9,8.1,19,27,59.7,11.4,1.9,68.8,29.1,0.4,0.5,12
5,59,Hot Spring,Arkansas,AR,49,"frontier status, population size, poverty, age, population density",35,31264,51,75.8,921.6,25.8,7.9,15,24.3,60.4,13.2,2.1,87.9,10.2,0.5,0.3,1.7
5,61,Howard,Arkansas,AR,43,"frontier status, population size, poverty, age",57,14552,25,75,1017.6,18.6,7.4,15.7,26.7,59.2,12,2.2,77.8,20.7,0.5,0.5,8.8
5,63,Independence,Arkansas,AR,32,"frontier status, population size, poverty, age",37,34737,45,75.2,997.2,20.1,7.2,14.9,24.3,60.9,13.2,1.6,95.5,2.1,0.4,1,2.5
5,65,Izard,Arkansas,AR,71,"frontier status, population size, poverty, age, population density",33,13430,23,74.9,1020.7,25,6.8,18.1,20.8,58.3,18.3,2.6,96.8,1.5,0.8,0.2,1.1
5,67,Jackson,Arkansas,AR,72,"frontier status, population size, poverty, age, population density",32,17601,28,73.2,1080.2,34.9,7.8,20.6,23.4,61.9,12.7,1.9,79.7,19.4,0.3,0.2,1.4
5,69,Jefferson,Arkansas,AR,8,"frontier status, population size, poverty",54,81700,92,73.2,1040.7,19.6,6.3,20.9,26.9,60.3,11,1.8,46.2,51.9,0.3,0.9,1.2
5,71,Johnson,Arkansas,AR,64,"frontier status, population size, poverty, age, population density",41,24042,36,75.7,937.5,17.9,7.3,17.1,25.9,60.2,11.9,2,95.7,1.8,0.7,0.7,9.3
5,73,Lafayette,Arkansas,AR,75,"frontier status, population size, poverty, age, population density",37,8027,15,74.7,976.7,26.1,9.4,20.5,24.2,58.5,14.2,3.1,63.1,36.1,0.4,0.3,1.6
5,75,Lawrence,Arkansas,AR,72,"frontier status, population size, poverty, age, population density",32,17153,29,74.6,1039.7,15.5,6.1,19,24.1,58.4,14.7,2.7,97.8,0.7,0.6,0.1,0.9
5,79,Lincoln,Arkansas,AR,44,"frontier status, population size, poverty, age",33,14262,25,74.4,916.4,16.8,7.8,23.4,21.3,66.6,10.3,1.8,66.1,32.9,0.4,0.1,1.8
5,81,Little River,Arkansas,AR,42,"frontier status, population size, poverty, age",53,13227,25,74,978.8,18.6,7.8,15.4,24.2,59.7,14.1,2,76,21.2,1.2,0.2,2
5,83,Logan,Arkansas,AR,76,"frontier status, population size, poverty, age, population density",38,22944,32,75.5,973.2,28.4,8.8,16.4,24.9,59,14,2.1,95.7,1.3,0.7,0.8,1.6
5,85,Lonoke,Arkansas,AR,29,"frontier status, population size, poverty, age",37,60658,79,75,977.4,16.8,5.7,10.8,26.8,62.9,9.3,1.1,91.5,6.5,0.5,0.6,2.3
5,87,Madison,Arkansas,AR,43,"frontier status, population size, poverty, age",57,14962,18,75.7,934.9,21.2,6.4,17,24.8,60.9,12.6,1.8,97.2,0.2,1.2,0.3,3.9
5,89,Marion,Arkansas,AR,71,"frontier status, population size, poverty, age, population density",33,16735,28,76.5,807.3,17.7,6,17.1,20,58.6,18.9,2.4,97.7,0.3,0.7,0.2,1
5,91,Miller,Arkansas,AR,52,"frontier status, population size, poverty, age, population density",40,43162,69,75.2,882.3,22.9,6.4,17.8,25.9,60.4,11.8,1.9,74.5,23.4,0.7,0.4,1.9
5,93,Mississippi,Arkansas,AR,8,"frontier status, population size, poverty",54,47911,53,71.6,1205.4,25.6,8.3,22.3,30.2,57.5,10.8,1.6,63.9,34.1,0.3,0.4,2.7
5,97,Montgomery,Arkansas,AR,70,"frontier status, population size, poverty, age, population density",37,9274,12,74.7,914.4,29.5,7.3,17.3,22.4,58.1,17.3,2.3,97.1,0.6,0.9,0.4,3.7
5,99,Nevada,Arkansas,AR,75,"frontier status, population size, poverty, age, population density",37,9550,15,72.6,1055.1,27.3,8.2,19.3,24.9,59.1,13.5,2.5,66.6,32.7,0.4,0.1,2.2
5,101,Newton,Arkansas,AR,74,"frontier status, population size, poverty, age, population density",30,8452,10,75.7,866.4,18.7,6.8,19.9,22.6,61.3,14.1,2.1,98.2,0.2,0.5,0.2,1.2
5,103,Ouachita,Arkansas,AR,36,"frontier status, population size, poverty, age",23,27102,37,72.6,1090.3,19.2,7.2,18.6,25,58.5,14,2.4,58.6,40.2,0.2,0.4,1.1
5,105,Perry,Arkansas,AR,62,"frontier status, population size, poverty, age, population density",32,10468,19,75.2,1033.1,29.7,7,14.8,24.2,60.7,13.4,1.8,96.3,2,0.9,0.2,1.3
5,107,Phillips,Arkansas,AR,51,"frontier status, population size, poverty, age, population density",33,24107,35,69.8,1231.5,18.3,6,28.4,32.4,53.5,12.4,1.7,37.3,61.4,0.2,0.5,1.5
5,109,Pike,Arkansas,AR,62,"frontier status, population size, poverty, age, population density",32,11038,18,75,911.2,33.1,6.8,15.6,24.3,58,15.3,2.4,94.2,3.9,0.8,0.3,4.9
5,111,Poinsett,Arkansas,AR,76,"frontier status, population size, poverty, age, population density",38,25349,33,72.4,1133,29.6,9.1,20.5,26.3,59.6,12.6,1.5,91.8,7.4,0.2,0.2,1.8
5,113,Polk,Arkansas,AR,71,"frontier status, population size, poverty, age, population density",33,20176,23,74.5,988,22,8.3,19.1,25,57.2,15.6,2.3,96.5,0.3,1.5,0.3,3.8
5,115,Pope,Arkansas,AR,23,"frontier status, population size, poverty, age",37,56580,70,76.1,912.8,19.2,5.8,16.5,26.1,60.8,11.4,1.6,94.4,3,0.6,0.8,3.8
5,117,Prairie,Arkansas,AR,61,"frontier status, population size, poverty, age, population density",32,9113,14,72.9,973.6,23.3,8,15.4,22.4,60,15.1,2.5,84.8,14.5,0.4,0.2,0.9
5,119,Pulaski,Arkansas,AR,5,"frontier status, population size, poverty",25,366463,475,74.8,952.5,16.7,6.2,15.1,26.3,61.9,10.3,1.5,62.5,34,0.4,1.6,3.1
5,121,Randolph,Arkansas,AR,72,"frontier status, population size, poverty, age, population density",32,18465,28,75,917.7,21.6,10.4,17.2,23.4,59.4,14.9,2.3,97.4,1.2,0.6,0.1,1.2
5,123,St. Francis,Arkansas,AR,52,"frontier status, population size, poverty, age, population density",40,27902,44,71.7,1240,27.3,9.7,25.2,28.3,60.2,9.9,1.6,48.2,50.5,0.3,0.7,5.2
5,125,Saline,Arkansas,AR,45,"frontier status, population size, poverty, age, population density",38,91188,126,76.4,907.9,18.2,7,9.4,24.2,62.8,12,1.1,94.8,3.2,0.5,0.7,2
5,127,Scott,Arkansas,AR,70,"frontier status, population size, poverty, age, population density",37,11150,12,74.5,987.3,23.4,6,18.9,26.1,58.8,13.4,1.8,95.4,0.5,1.2,2,7
5,129,Searcy,Arkansas,AR,70,"frontier status, population size, poverty, age, population density",37,7969,12,76.5,996.1,30.2,9,21.8,20.9,59.3,16.9,2.9,98,0.2,0.8,0.2,1.1
5,131,Sebastian,Arkansas,AR,6,"frontier status, population size, poverty",53,118750,221,75.6,927,16.9,6.5,15.4,26.8,60.4,11.1,1.7,85.8,6.3,1.6,3.8,9.6
5,133,Sevier,Arkansas,AR,76,"frontier status, population size, poverty, age, population density",38,16456,29,74,1023.1,21.4,5.7,17.8,29.7,57.7,11,1.5,92.4,4.4,2,0.3,26.5
5,135,Sharp,Arkansas,AR,72,"frontier status, population size, poverty, age, population density",32,17397,29,74.6,953.7,27.4,8.3,19.9,21.4,55.8,19.8,3,97,0.9,0.6,0.2,1.4
5,137,Stone,Arkansas,AR,70,"frontier status, population size, poverty, age, population density",37,11716,19,76.5,940.8,24.6,7.6,18.4,21.6,58.6,17.9,1.9,97.7,0.3,0.4,0,1.1
5,139,Union,Arkansas,AR,36,"frontier status, population size, poverty, age",23,44186,43,73.6,1036.4,21.5,7.3,17.7,25.4,58.8,13.4,2.4,65.3,33,0.2,0.6,1.7
5,141,Van Buren,Arkansas,AR,71,"frontier status, population size, poverty, age, population density",33,16529,23,76.4,886,27.4,8.1,17,21,55.9,19.9,3.2,97.1,0.5,0.8,0.3,1.4
5,143,Washington,Arkansas,AR,14,"frontier status, population size, poverty, age",40,180357,190,76.7,902.1,13.9,6.2,13.8,27.5,63.1,8.4,1.1,91.2,2.7,1.4,2.6,12.2
5,145,White,Arkansas,AR,22,"frontier status, population size, poverty, age",28,71332,69,75.1,964,19.5,7.3,15.5,25.4,60.9,11.9,1.8,93.8,4,0.5,0.5,2.6
5,149,Yell,Arkansas,AR,62,"frontier status, population size, poverty, age, population density",32,21391,23,74.7,991.8,21.3,7.9,15.6,26.3,59.1,12.6,2,95.4,1.5,0.7,1.3,17.1
6,1,Alameda,California,CA,1,"frontier status, population size",34,1448905,1964,78.1,751,11.9,6,10.7,26.2,63.3,9,1.5,56.9,13.8,0.7,24.9,20.3
6,7,Butte,California,CA,6,"frontier status, population size, poverty",53,214185,131,76.5,878.8,14.3,7.1,15.8,24.4,60.7,12.2,2.7,89.2,1.6,1.9,4.2,11.6
6,9,Calaveras,California,CA,30,"frontier status, population size, poverty, age",57,46871,46,78.2,752.2,8.8,5.2,9.7,20.8,62,15.1,2.1,93.6,1,1.7,1.3,8.6
6,13,Contra Costa,California,CA,2,"frontier status, population size, poverty",32,1017787,1414,78.8,737.8,14.1,6,7.5,27,61.6,9.7,1.7,72.7,9.6,0.7,13.5,20.7
6,17,El Dorado,California,CA,12,"frontier status, population size, poverty, age",57,176841,103,78.7,758.8,10.1,4.8,7.5,24,64.3,10.3,1.4,92.5,0.9,1,3.2,10.3
6,19,Fresno,California,CA,3,"frontier status, population size, poverty",39,877584,147,77.1,836.8,16.5,6.4,20.6,32.3,58,8.3,1.4,81.4,5.7,1.9,9,46.4
6,23,Humboldt,California,CA,6,"frontier status, population size, poverty",53,128376,36,75.5,952.7,12.5,7.7,15.6,23.2,64.3,10.7,1.9,87.5,1.1,5.4,2.1,7.4
6,25,Imperial,California,CA,7,"frontier status, population size, poverty",33,155823,37,77.5,777.3,36.7,8.4,19.8,31.9,57.8,9.1,1.2,90.6,4.2,1.9,2.6,75.1
